PV Cell Characteristics


Date and Time: 2019-11-18 22:14:07


Model:            g191109-2
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.436000
Isc(A):           0.000183
Vm(V):            0.214000
Im(A):            0.000090
Pmax(W):          0.000019
Efficiency(%):    0.160301
Fill Factor(%):   24.156519
Jsc(A/m2):        15.220000
Rs(ohm):          3011.769241
Rsh(ohm):         2255.257569
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


2.793093E-004	-2.000000E-001	-5.586186E-005
2.753383E-004	-1.940000E-001	-5.341563E-005
2.718775E-004	-1.880000E-001	-5.111297E-005
2.684464E-004	-1.820000E-001	-4.885724E-005
2.652374E-004	-1.760000E-001	-4.668178E-005
2.620486E-004	-1.700000E-001	-4.454826E-005
2.589408E-004	-1.640000E-001	-4.246629E-005
2.558179E-004	-1.580000E-001	-4.041923E-005
2.527344E-004	-1.520000E-001	-3.841563E-005
2.497638E-004	-1.460000E-001	-3.646551E-005
2.467112E-004	-1.400000E-001	-3.453957E-005
2.438347E-004	-1.340000E-001	-3.267385E-005
2.408233E-004	-1.280000E-001	-3.082538E-005
2.379981E-004	-1.220000E-001	-2.903577E-005
2.351172E-004	-1.160000E-001	-2.727360E-005
2.322745E-004	-1.100000E-001	-2.555020E-005
2.294167E-004	-1.040000E-001	-2.385934E-005
2.265059E-004	-9.800000E-002	-2.219758E-005
2.237168E-004	-9.200000E-002	-2.058195E-005
2.208549E-004	-8.600000E-002	-1.899352E-005
2.181135E-004	-8.000000E-002	-1.744908E-005
2.152637E-004	-7.400000E-002	-1.592951E-005
2.125276E-004	-6.800000E-002	-1.445188E-005
2.097625E-004	-6.200000E-002	-1.300528E-005
2.070575E-004	-5.600000E-002	-1.159522E-005
2.043141E-004	-5.000000E-002	-1.021571E-005
2.015508E-004	-4.400000E-002	-8.868235E-006
1.987847E-004	-3.800000E-002	-7.553819E-006
1.960433E-004	-3.200000E-002	-6.273386E-006
1.933907E-004	-2.600000E-002	-5.028158E-006
1.906345E-004	-2.000000E-002	-3.812690E-006
1.880225E-004	-1.400000E-002	-2.632315E-006
1.852527E-004	-8.000000E-003	-1.482022E-006
1.826400E-004	-2.000000E-003	-3.652800E-007
1.799318E-004	4.000000E-003	7.197272E-007
1.772831E-004	1.000000E-002	1.772831E-006
1.746157E-004	1.600000E-002	2.793851E-006
1.719201E-004	2.200000E-002	3.782242E-006
1.693534E-004	2.800000E-002	4.741895E-006
1.666297E-004	3.400000E-002	5.665410E-006
1.640359E-004	4.000000E-002	6.561436E-006
1.613412E-004	4.600000E-002	7.421695E-006
1.587451E-004	5.200000E-002	8.254745E-006
1.561169E-004	5.800000E-002	9.054780E-006
1.535481E-004	6.400000E-002	9.827078E-006
1.509325E-004	7.000000E-002	1.056528E-005
1.482878E-004	7.600000E-002	1.126987E-005
1.457090E-004	8.200000E-002	1.194814E-005
1.430755E-004	8.800000E-002	1.259064E-005
1.405508E-004	9.400000E-002	1.321178E-005
1.378989E-004	1.000000E-001	1.378989E-005
1.353943E-004	1.060000E-001	1.435180E-005
1.327580E-004	1.120000E-001	1.486890E-005
