PV Cell Characteristics


Date and Time: 2019-11-18 19:32:24


Model:            g191113-4-1
Serial Number:    2
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.538000
Isc(A):           0.003307
Vm(V):            0.364000
Im(A):            0.002775
Pmax(W):          0.001010
Efficiency(%):    8.416202
Fill Factor(%):   56.773413
Jsc(A/m2):        275.542667
Rs(ohm):          42.543839
Rsh(ohm):         8639.308855
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.340870E-003	-2.000000E-001	-6.681740E-004
3.338875E-003	-1.940000E-001	-6.477418E-004
3.337838E-003	-1.880000E-001	-6.275135E-004
3.334941E-003	-1.820000E-001	-6.069593E-004
3.334583E-003	-1.760000E-001	-5.868866E-004
3.334445E-003	-1.700000E-001	-5.668557E-004
3.334436E-003	-1.640000E-001	-5.468475E-004
3.333392E-003	-1.580000E-001	-5.266759E-004
3.330669E-003	-1.520000E-001	-5.062617E-004
3.329667E-003	-1.460000E-001	-4.861314E-004
3.328226E-003	-1.400000E-001	-4.659516E-004
3.326939E-003	-1.340000E-001	-4.458098E-004
3.326131E-003	-1.280000E-001	-4.257448E-004
3.324557E-003	-1.220000E-001	-4.055960E-004
3.324802E-003	-1.160000E-001	-3.856770E-004
3.325343E-003	-1.100000E-001	-3.657877E-004
3.325358E-003	-1.040000E-001	-3.458372E-004
3.323474E-003	-9.800000E-002	-3.257005E-004
3.322239E-003	-9.200000E-002	-3.056460E-004
3.321182E-003	-8.600000E-002	-2.856217E-004
3.320274E-003	-8.000000E-002	-2.656219E-004
3.319388E-003	-7.400000E-002	-2.456347E-004
3.318281E-003	-6.800000E-002	-2.256431E-004
3.317336E-003	-6.200000E-002	-2.056748E-004
3.317164E-003	-5.600000E-002	-1.857612E-004
3.317885E-003	-5.000000E-002	-1.658943E-004
3.316576E-003	-4.400000E-002	-1.459293E-004
3.314577E-003	-3.800000E-002	-1.259539E-004
3.313052E-003	-3.200000E-002	-1.060177E-004
3.312174E-003	-2.600000E-002	-8.611652E-005
3.310183E-003	-2.000000E-002	-6.620366E-005
3.309098E-003	-1.400000E-002	-4.632737E-005
3.307628E-003	-8.000000E-003	-2.646102E-005
3.306512E-003	-2.000000E-003	-6.613024E-006
3.306239E-003	4.000000E-003	1.322496E-005
3.305961E-003	1.000000E-002	3.305961E-005
3.305249E-003	1.600000E-002	5.288398E-005
3.302354E-003	2.200000E-002	7.265179E-005
3.300024E-003	2.800000E-002	9.240067E-005
3.298533E-003	3.400000E-002	1.121501E-004
3.296295E-003	4.000000E-002	1.318518E-004
3.295183E-003	4.600000E-002	1.515784E-004
3.292610E-003	5.200000E-002	1.712157E-004
3.290479E-003	5.800000E-002	1.908478E-004
3.290080E-003	6.400000E-002	2.105651E-004
3.288890E-003	7.000000E-002	2.302223E-004
3.286669E-003	7.600000E-002	2.497868E-004
3.284662E-003	8.200000E-002	2.693423E-004
3.282286E-003	8.800000E-002	2.888412E-004
3.280701E-003	9.400000E-002	3.083859E-004
3.277101E-003	1.000000E-001	3.277101E-004
3.274367E-003	1.060000E-001	3.470829E-004
