Model                    No.          Voc               Eff                    FF                    Jsc                    Rs                Rsh
g191109-1??          ??          436.0          0.160301          24.15651          15.22000          3011.769          2255.257
g191109-1??          ??          028.0          0.015244          24.81743          21.93755          120.3009          122.7364
g191109-1??          ??          016.0          0.002601          14.73720          11.03042          107.8908          111.4108
g191109-1??          ??          376.0          0.439806          26.13434          44.75705          640.9370          767.4155
g191109-1??          ??          0-2.0          -164.788          855619.1          96.29800          1.978042          1.978042

g191109-3??          ??          094.0          0.246247          24.39739          107.3742          69.20225          75.52347
g191109-3??          ??          040.0          0.020985          25.77190          20.35630          180.7150          187.2875
g191109-3??          ??          214.0          0.305886          25.50595          56.04084          321.6133          335.9556
g191109-3??          ??          502.0          0.824111          23.87259          68.76736          650.2525          567.9774
g191109-3??          ??          496.0          0.661654          25.47695          52.36024          824.3592          868.5330
g191109-3??          ??          496.0          0.871714          25.31740          69.41815          650.7387          613.8107
g191109-3??          ??          502.0          0.834839          24.63294          67.51223          634.3303          609.3473

g191109-4??          ??          562.0          3.096136          34.68439          158.8362          290.1364          930.3046
