PV Cell Characteristics


Date and Time: 2019-11-18 22:15:23


Model:            g191109-1
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           -0.002000
Isc(A):           0.001156
Vm(V):            -0.200000
Im(A):            0.098873
Pmax(W):          -0.019775
Efficiency(%):    -164.788833
Fill Factor(%):   855619.189045
Jsc(A/m2):        96.298000
Rs(ohm):          1.978042
Rsh(ohm):         1.978042
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


9.887330E-002	-2.000000E-001	-1.977466E-002
9.603144E-002	-1.940000E-001	-1.863010E-002
9.312586E-002	-1.880000E-001	-1.750766E-002
9.020578E-002	-1.820000E-001	-1.641745E-002
8.727340E-002	-1.760000E-001	-1.536012E-002
8.433764E-002	-1.700000E-001	-1.433740E-002
8.139417E-002	-1.640000E-001	-1.334864E-002
7.845005E-002	-1.580000E-001	-1.239511E-002
7.550313E-002	-1.520000E-001	-1.147648E-002
7.255385E-002	-1.460000E-001	-1.059286E-002
6.961900E-002	-1.400000E-001	-9.746660E-003
6.667524E-002	-1.340000E-001	-8.934482E-003
6.373113E-002	-1.280000E-001	-8.157585E-003
6.077160E-002	-1.220000E-001	-7.414135E-003
5.781331E-002	-1.160000E-001	-6.706344E-003
5.485421E-002	-1.100000E-001	-6.033963E-003
5.189334E-002	-1.040000E-001	-5.396907E-003
4.893519E-002	-9.800000E-002	-4.795649E-003
4.597121E-002	-9.200000E-002	-4.229351E-003
4.301402E-002	-8.600000E-002	-3.699206E-003
4.004761E-002	-8.000000E-002	-3.203809E-003
3.707406E-002	-7.400000E-002	-2.743480E-003
3.409041E-002	-6.800000E-002	-2.318148E-003
3.110688E-002	-6.200000E-002	-1.928627E-003
2.812560E-002	-5.600000E-002	-1.575034E-003
2.514663E-002	-5.000000E-002	-1.257332E-003
2.216079E-002	-4.400000E-002	-9.750748E-004
1.916757E-002	-3.800000E-002	-7.283677E-004
1.617598E-002	-3.200000E-002	-5.176314E-004
1.316775E-002	-2.600000E-002	-3.423615E-004
1.015618E-002	-2.000000E-002	-2.031236E-004
7.157630E-003	-1.400000E-002	-1.002068E-004
4.178287E-003	-8.000000E-003	-3.342630E-005
1.155576E-003	-2.000000E-003	-2.311152E-006
-1.888318E-003	4.000000E-003	-7.553272E-006
-4.946362E-003	1.000000E-002	-4.946362E-005
-7.989112E-003	1.600000E-002	-1.278258E-004
-1.109344E-002	2.200000E-002	-2.440557E-004
-1.415568E-002	2.800000E-002	-3.963590E-004
-1.722198E-002	3.400000E-002	-5.855473E-004
-2.028712E-002	4.000000E-002	-8.114848E-004
-2.336849E-002	4.600000E-002	-1.074951E-003
-2.645030E-002	5.200000E-002	-1.375416E-003
-2.954199E-002	5.800000E-002	-1.713435E-003
-3.264659E-002	6.400000E-002	-2.089382E-003
-3.577014E-002	7.000000E-002	-2.503910E-003
-3.890008E-002	7.600000E-002	-2.956406E-003
-4.202937E-002	8.200000E-002	-3.446408E-003
-4.516524E-002	8.800000E-002	-3.974541E-003
-4.830742E-002	9.400000E-002	-4.540897E-003
-5.146702E-002	1.000000E-001	-5.146702E-003
