PV Cell Characteristics


Date and Time: 2019-11-18 22:11:00


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.496000
Isc(A):           0.000833
Vm(V):            0.250000
Im(A):            0.000418
Pmax(W):          0.000105
Efficiency(%):    0.871714
Fill Factor(%):   25.317402
Jsc(A/m2):        69.418158
Rs(ohm):          650.738751
Rsh(ohm):         613.810742
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.147208E-003	-2.000000E-001	-2.294416E-004
1.137095E-003	-1.940000E-001	-2.205964E-004
1.126986E-003	-1.880000E-001	-2.118734E-004
1.117588E-003	-1.820000E-001	-2.034010E-004
1.108083E-003	-1.760000E-001	-1.950226E-004
1.098438E-003	-1.700000E-001	-1.867345E-004
1.089047E-003	-1.640000E-001	-1.786037E-004
1.079374E-003	-1.580000E-001	-1.705411E-004
1.070144E-003	-1.520000E-001	-1.626619E-004
1.060540E-003	-1.460000E-001	-1.548388E-004
1.051098E-003	-1.400000E-001	-1.471537E-004
1.041808E-003	-1.340000E-001	-1.396023E-004
1.032357E-003	-1.280000E-001	-1.321417E-004
1.023118E-003	-1.220000E-001	-1.248204E-004
1.013737E-003	-1.160000E-001	-1.175935E-004
1.004194E-003	-1.100000E-001	-1.104613E-004
9.959188E-004	-1.040000E-001	-1.035756E-004
9.863045E-004	-9.800000E-002	-9.665784E-005
9.768048E-004	-9.200000E-002	-8.986604E-005
9.674583E-004	-8.600000E-002	-8.320141E-005
9.578689E-004	-8.000000E-002	-7.662951E-005
9.485779E-004	-7.400000E-002	-7.019476E-005
9.389872E-004	-6.800000E-002	-6.385113E-005
9.293381E-004	-6.200000E-002	-5.761896E-005
9.198831E-004	-5.600000E-002	-5.151345E-005
9.101782E-004	-5.000000E-002	-4.550891E-005
9.006704E-004	-4.400000E-002	-3.962950E-005
8.908783E-004	-3.800000E-002	-3.385338E-005
8.813351E-004	-3.200000E-002	-2.820272E-005
8.716657E-004	-2.600000E-002	-2.266331E-005
8.620743E-004	-2.000000E-002	-1.724149E-005
8.525280E-004	-1.400000E-002	-1.193539E-005
8.427588E-004	-8.000000E-003	-6.742070E-006
8.330179E-004	-2.000000E-003	-1.666036E-006
8.232088E-004	4.000000E-003	3.292835E-006
8.134327E-004	1.000000E-002	8.134327E-006
8.036990E-004	1.600000E-002	1.285918E-005
7.939166E-004	2.200000E-002	1.746617E-005
7.841357E-004	2.800000E-002	2.195580E-005
7.744051E-004	3.400000E-002	2.632977E-005
7.645648E-004	4.000000E-002	3.058259E-005
7.549662E-004	4.600000E-002	3.472845E-005
7.449926E-004	5.200000E-002	3.873962E-005
7.351288E-004	5.800000E-002	4.263747E-005
7.253127E-004	6.400000E-002	4.642001E-005
7.153749E-004	7.000000E-002	5.007624E-005
7.056824E-004	7.600000E-002	5.363186E-005
6.957017E-004	8.200000E-002	5.704754E-005
6.860046E-004	8.800000E-002	6.036840E-005
6.760943E-004	9.400000E-002	6.355286E-005
6.662902E-004	1.000000E-001	6.662902E-005
6.565557E-004	1.060000E-001	6.959490E-005
6.465573E-004	1.120000E-001	7.241442E-005
