PV Cell Characteristics


Date and Time: 2019-11-18 19:33:50


Model:            g191113-4-1
Serial Number:    6
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.520000
Isc(A):           0.003352
Vm(V):            0.394000
Im(A):            0.002900
Pmax(W):          0.001142
Efficiency(%):    9.520810
Fill Factor(%):   65.549172
Jsc(A/m2):        279.320833
Rs(ohm):          25.335190
Rsh(ohm):         2466.598150
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.375771E-003	-2.000000E-001	-6.751542E-004
3.376880E-003	-1.940000E-001	-6.551147E-004
3.377292E-003	-1.880000E-001	-6.349309E-004
3.375546E-003	-1.820000E-001	-6.143494E-004
3.375412E-003	-1.760000E-001	-5.940725E-004
3.373975E-003	-1.700000E-001	-5.735758E-004
3.374567E-003	-1.640000E-001	-5.534290E-004
3.374704E-003	-1.580000E-001	-5.332032E-004
3.373888E-003	-1.520000E-001	-5.128310E-004
3.374528E-003	-1.460000E-001	-4.926811E-004
3.373414E-003	-1.400000E-001	-4.722780E-004
3.374929E-003	-1.340000E-001	-4.522405E-004
3.374486E-003	-1.280000E-001	-4.319342E-004
3.372180E-003	-1.220000E-001	-4.114060E-004
3.371855E-003	-1.160000E-001	-3.911352E-004
3.370348E-003	-1.100000E-001	-3.707383E-004
3.370212E-003	-1.040000E-001	-3.505020E-004
3.368637E-003	-9.800000E-002	-3.301264E-004
3.367438E-003	-9.200000E-002	-3.098043E-004
3.366636E-003	-8.600000E-002	-2.895307E-004
3.365700E-003	-8.000000E-002	-2.692560E-004
3.366118E-003	-7.400000E-002	-2.490927E-004
3.365064E-003	-6.800000E-002	-2.288244E-004
3.362763E-003	-6.200000E-002	-2.084913E-004
3.361875E-003	-5.600000E-002	-1.882650E-004
3.360843E-003	-5.000000E-002	-1.680422E-004
3.360218E-003	-4.400000E-002	-1.478496E-004
3.358474E-003	-3.800000E-002	-1.276220E-004
3.357062E-003	-3.200000E-002	-1.074260E-004
3.355923E-003	-2.600000E-002	-8.725400E-005
3.355979E-003	-2.000000E-002	-6.711958E-005
3.356105E-003	-1.400000E-002	-4.698547E-005
3.354669E-003	-8.000000E-003	-2.683735E-005
3.351850E-003	-2.000000E-003	-6.703700E-006
3.349804E-003	4.000000E-003	1.339922E-005
3.348663E-003	1.000000E-002	3.348663E-005
3.346895E-003	1.600000E-002	5.355032E-005
3.345281E-003	2.200000E-002	7.359618E-005
3.344214E-003	2.800000E-002	9.363799E-005
3.342157E-003	3.400000E-002	1.136333E-004
3.341501E-003	4.000000E-002	1.336600E-004
3.341520E-003	4.600000E-002	1.537099E-004
3.339038E-003	5.200000E-002	1.736300E-004
3.336832E-003	5.800000E-002	1.935363E-004
3.334893E-003	6.400000E-002	2.134332E-004
3.333784E-003	7.000000E-002	2.333649E-004
3.331886E-003	7.600000E-002	2.532233E-004
3.330066E-003	8.200000E-002	2.730654E-004
3.328581E-003	8.800000E-002	2.929151E-004
3.327381E-003	9.400000E-002	3.127738E-004
3.327083E-003	1.000000E-001	3.327083E-004
3.327196E-003	1.060000E-001	3.526828E-004
